UF;Ano;RCL ano Anterior;Perc. RCl;Montante Pendente;Montante pago;Saldo após pagamento;Montante expedido ;Divida final;;TOTAL (ÚLTIMOS 12 MESES);RECEITA CORRENTE LÍQUIDA (III) = (I - II);;;;
DF;2021; 25.058.903.184,98 ;1,5%; 3.299.590.501,21 ; 264.983.812,06 ; 3.417.634.371,21 ; 717.581.961,52 ; 4.135.216.332,73 ;;;;;;;
ES;2021; 15.640.877.344,22 ;2,0%; -   ; -   ; -   ; -   ; -   ;;;;;;;
GO;2021; 26.323.342.281,46 ;1,5%; 3.132.565.083,58 ; 638.954.406,26 ; 2.689.853.474,47 ; 561.939.776,52 ; 3.251.793.250,99 ;;;;;;;
MA;2021; 16.314.807.210,65 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
MT;2021; 20.481.972.452,51 ;1,5%; 1.076.876.496,46 ; 33.495.275,84 ; 1.312.226.875,22 ; 230.198.831,46 ; 1.542.425.706,68 ;;;;;;;
MS;2021; 14.070.824.317,81 ;1,5%; 472.466.629,67 ; 262.173.945,79 ; 210.876.854,77 ; 73.113.005,96 ; 283.989.860,73 ;;;;;;;
MG;2021; 70.585.665.374,16 ;2,0%; 4.704.424.642,24 ; 728.198.306,98 ; 4.582.259.705,08 ; 202.329.565,19 ; 4.784.589.270,27 ;;;;;;;
PA;2021; 24.196.556.795,52 ;1,5%; 156.235.256,45 ; 94.615.563,18 ; 62.385.726,16 ; 60.461.269,80 ; 122.846.995,96 ;;;;;;;
PB;2021; 11.287.852.748,44 ;1,5%; 3.424.697.252,43 ; 255.764.455,16 ; 3.600.194.476,07 ; 1.072.349.326,00 ; 4.672.543.802,07 ;;;;;;;
PR;2021; 40.251.112.108,76 ;2,0%; 7.205.016.961,38 ; 890.150.378,61 ; 7.113.894.104,61 ; 955.268.242,62 ; 8.069.162.347,23 ;;;;;;;
PE;2021; 27.238.978.598,44 ;1,5%; 420.571.567,88 ; 260.735.706,24 ; 203.101.240,12 ; 178.409.101,58 ; 381.510.341,70 ;;;;;;;
PI;2021; 11.769.739.826,70 ;1,5%; 1.836.292.625,11 ; 69.077.875,36 ; 1.789.096.034,14 ; 196.312.477,72 ; 1.985.408.511,86 ;;;;;;;
RJ;2021; 59.498.087.016,55 ;2,0%; 6.723.527.780,99 ; 840.537.167,98 ; 5.569.597.826,52 ; 1.702.510.931,40 ; 7.272.108.757,92 ;;;;;;;
RN;2021; 10.827.361.004,70 ;1,5%; 1.099.999.419,90 ; 168.989.913,74 ; 1.191.025.725,93 ; 672.972.658,12 ; 1.863.998.384,05 ;;;;;;;
RS;2021; 42.073.517.608,88 ;2,0%; 15.730.928.411,58 ; 926.486.919,14 ; 16.088.018.725,65 ; 402.779.038,36 ; 16.490.797.764,01 ;;;;;;;
RO;2021; 8.723.780.512,00 ;1,5%; 2.552.696.924,46 ; 151.283.910,64 ; 2.439.924.504,46 ; 33.584.741,05 ; 2.473.509.245,51 ;;;;;;;
RR;2021; 4.335.140.398,81 ;1,5%; 213.099.257,03 ; 48.099.799,49 ; 206.617.232,47 ; 109.545.000,20 ; 316.162.232,67 ;;;;;;;
SC;2021; 26.861.365.172,05 ;2,0%; 2.236.391.400,79 ; 515.158.857,50 ; 2.046.622.164,58 ; 385.912.723,55 ; 2.432.534.888,13 ;;;;;;;
SP;2021; 165.229.897.154,96 ;2,0%; 29.257.952.605,50 ; 4.861.408.835,80 ; 27.515.339.231,97 ; 5.941.693.091,78 ; 33.457.032.323,75 ;;;;;;;
SE;2021; 8.724.606.234,62 ;1,5%; 1.102.607.566,53 ; 65.063.071,90 ; 1.023.646.853,64 ; 183.301.598,28 ; 1.206.948.451,92 ;;;;;;;
TO;2021; 8.967.319.709,14 ;1,5%; 618.998.427,40 ; 122.695.936,96 ; 640.993.306,52 ; 166.167.945,68 ; 807.161.252,20 ;;;;;;;
AC;2022; 6.690.645.735,40 ;1,5%; 211.192.742,54 ; 109.969.073,48 ; 106.867.596,97 ; 26.084.144,22 ; 132.951.741,19 ;;;;;;;
AL;2022; 12.528.914.436,01 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
AP;2022; 6.652.811.595,54 ;1,5%; 461.904.208,20 ; 85.058.684,05 ; 307.586.286,09 ; 58.773.751,29 ; 366.360.037,38 ;;;;;;;
AM;2022; 18.994.133.782,72 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
BA;2022; 45.445.462.102,68 ;1,5%; 4.909.369.394,01 ; 400.430.236,27 ; 5.044.010.738,63 ; 451.134.403,40 ; 5.495.145.142,03 ;;;;;;;
CE;2022; 25.170.813.561,04 ;1,5%; 638.048.643,10 ; 103.280.811,59 ; 613.080.963,75 ; 120.129.561,93 ; 733.210.525,68 ;;;;;;;
DF;2022; 28.277.263.875,40 ;1,5%; 4.181.393.713,01 ; 232.423.779,33 ; 4.425.657.047,16 ; 468.944.857,11 ; 4.894.601.904,27 ;;;;;;;
ES;2022; 18.821.227.339,89 ;2,0%; -   ; -   ; -   ; -   ; -   ;;;;;;;
GO;2022; 31.545.320.020,20 ;1,5%; 3.196.987.599,57 ; 849.579.011,10 ; 2.773.912.142,33 ; 505.566.049,66 ; 3.279.478.191,99 ;;;;;;;
MA;2022; 18.273.349.131,85 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
MT;2022; 24.604.584.741,02 ;1,5%; 270.908.247,01 ; 574.870.643,48 ; 266.361.774,66 ; 78.982.340,12 ; 345.344.114,78 ;;;;;;;
MS;2022; 15.816.038.193,47 ;1,5%; 283.990.053,63 ; 224.387.065,86 ; 70.331.738,97 ; 62.993.886,79 ; 133.325.625,76 ;;;;;;;
MG;2022; 82.453.583.803,79 ;2,0%; 4.794.810.823,13 ; 1.110.041.250,23 ; 4.259.399.366,23 ; 336.586.868,50 ; 4.595.986.234,73 ;;;;;;;
PA;2022; 27.009.202.196,32 ;1,5%; 122.548.717,38 ; 117.554.389,39 ; 6.102.163,23 ; 3.016.892,03 ; 9.119.055,26 ;;;;;;;
PB;2022; 13.037.174.793,71 ;1,5%; 4.235.438.535,83 ; 679.007.877,21 ; 3.794.463.480,80 ; 662.906.086,61 ; 4.457.369.567,41 ;;;;;;;
PR;2022; 47.834.157.072,78 ;2,0%; 6.769.623.031,57 ; 1.308.772.261,54 ; 7.342.462.626,60 ; 563.996.488,53 ; 7.906.459.115,13 ;;;;;;;
PE;2022; 31.342.387.716,05 ;1,5%; 384.029.834,35 ; 169.444.274,91 ; 234.058.358,29 ; 87.881.959,37 ; 321.940.317,66 ;;;;;;;
PI;2022; 11.455.231.445,84 ;1,5%; 1.989.626.877,91 ; 57.780.525,81 ; 2.024.606.510,87 ; 143.414.949,79 ; 2.168.021.460,66 ;;;;;;;
RJ;2022; 82.455.459.589,61 ;2,0%; 7.153.320.969,83 ; 2.221.208.246,26 ; 6.661.946.097,76 ; 2.013.445.093,37 ; 8.675.391.191,13 ;;;;;;;
RN;2022; 12.245.466.333,85 ;1,5%; 1.830.789.535,05 ; 235.175.644,53 ; 2.017.655.283,78 ; 370.883.139,23 ; 2.388.538.423,01 ;;;;;;;
RS;2022; 53.878.109.956,44 ;2,0%; 16.493.357.916,43 ; 1.206.853.881,54 ; 16.600.035.040,76 ; 298.664.825,24 ; 16.898.699.866,00 ;;;;;;;
RO;2022; 10.018.331.562,62 ;1,5%; 2.444.976.357,38 ; 92.496.530,95 ; 2.353.085.007,54 ; 72.519.961,13 ; 2.425.604.968,67 ;;;;;;;
RR;2022; 5.540.254.194,44 ;1,5%; 323.858.574,26 ; 66.908.975,56 ; 248.591.972,17 ; 179.268.846,57 ; 427.860.818,74 ;;;;;;;
SC;2022; 31.050.771.461,09 ;2,0%; 2.432.388.755,40 ; 524.396.369,10 ; 2.303.594.401,38 ; 289.250.051,60 ; 2.592.844.452,98 ;;;;;;;
SP;2022; 197.089.874.182,32 ;2,0%; 3.397.263.420,46 ; 1.027.276.158,84 ; 4.640.932.559,98 ; 320.886.311,21 ; 4.961.818.871,19 ;;;;;;;
SE;2022; 9.674.448.310,22 ;1,5%; 1.297.081.232,40 ; 90.554.234,55 ; 1.187.513.677,16 ; 147.064.510,93 ; 1.334.578.188,09 ;;;;;;;
